Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	WIN	SPR	SUM	AUT	ANN
1929   3	8.2	36.9	172.8	149.6	203.3	188.3	136.5	93.5	125.6	109.9	46.9	51.8	---	525.8	418.2	282.4	1353.3
1930   3	9.4	75.4	92.9	167.3	178.6	231.2	100.9	104	123.4	64.7	68.7	31.4	166.6	438.9	436.1	256.8	1277.9
1931   5	6.6	54.4	118.4	112.7	171.9	129.8	88.7	175.3	98.5	103.3	58.7	18.1	142.5	403.1	393.9	260.5	1186.6
1932   3	2.6	82.4	113.2	161.9	164.9	204.4	115.9	106.7	100.5	94.9	64.6	42.6	133	440	427	260	1284.6
1933   6	7.2	56.2	115.8	106.1	123.7	159.4	141.5	123.5	162.8	59.4	57.1	32.7	166	345.5	424.5	279.3	1205.4
1934   4	2.2	62	108.3	112.1	155.7	195.4	201.9	103.6	122.9	59	47.8	23.4	136.8	376.2	501	229.7	1234.4
1935   3	5.6	64.2	94.8	151.9	252.6	145.7	190.3	127.7	113.4	75.3	75.5	59.1	123.1	499.3	463.7	264.3	1386.2
1936   4	0.8	72.2	72.6	169.8	187.6	191.5	118.5	135.3	109.4	93	48.4	31.2	172.1	430	445.3	250.9	1270.3
1937   3	7.8	65.2	125.5	50.1	210	132.8	103	140.5	112	77.6	46.4	36.7	134.1	385.6	376.4	236	1137.7
1938   2	5.4	63.3	84.1	199.4	152.1	125.3	111.2	156.9	99.4	86.3	46.5	53.1	125.5	435.6	393.5	232.1	1203
1939   6	0.5	37	105.1	148.2	186	239.9	94.1	149.3	100.1	114.7	41.4	31.2	150.6	439.3	483.3	256.2	1307.4
1940   5	0.5	39.6	86	108.1	164.6	258.9	125.2	108.7	102.4	57.1	53.4	29	121.2	358.6	492.8	212.9	1183.3
1941   4	5.1	77.7	108.1	123.8	170.2	151.1	107.7	122.3	100.1	89.2	56.9	24.2	151.7	402.2	381.1	246.2	1176.4
1942   5	2.4	59.3	86.8	198.5	198.5	173.1	147.8	83.3	108.3	72.1	68	27.4	135.9	483.8	404.2	248.4	1275.4
1943   5	5.2	62.2	105.5	110.9	210.2	171.7	195.7	90.4	88.9	84.7	50.1	28.9	144.8	426.6	457.7	223.7	1254.3
1944   2	6.3	82.5	115.3	116.4	155.2	111	89.2	164.7	111.1	90.3	50.1	30.5	137.8	387	364.9	251.5	1142.7
1945   4	7.8	58.5	81.6	162.3	151.6	135	125	155.5	95.1	74.2	46.3	42.1	136.9	395.5	415.5	215.6	1174.9
1946   5	2.4	64.2	104.7	142.3	277.9	147.7	124.4	135	75.3	62.9	58.4	49	158.6	524.9	407.2	196.6	1294.2
1947   4	1.4	51	82.9	132	175.7	140.3	119.3	261.4	94	86.2	73.9	23.5	141.4	390.6	521	254.1	1281.6
1948   4	0.7	57.8	126.7	164.9	235.2	119.4	154.1	109.8	96.2	91.4	73.5	46.3	122	526.7	383.3	261.1	1315.9
1949   3	5.8	75.6	117.8	132	191.1	256.2	127.7	117.9	144.2	69.7	63	30.7	157.7	440.9	501.8	276.8	1361.6
1950   4	3.4	65.2	118.8	129	216.5	183.9	146.6	135.9	98.7	81.7	80.2	39.3	139.3	464.4	466.4	260.6	1339.2
1951   5	1.8	77	98.7	166.7	205.9	208	122.2	133.4	96.8	82.6	39.2	39.6	168	471.4	463.5	218.7	1321.9
1952   4	5.2	60.6	111.2	145.4	174.6	146.7	120.1	122.8	119.3	112.1	55	42.2	145.4	431.2	389.6	286.3	1255.1
1953   4	0.3	59.3	115.9	162.6	196.2	171	138.7	126.8	87.4	79.7	46.8	30.2	141.8	474.8	436.6	213.9	1255
1954   3	5.1	41.8	104.6	176.2	158.1	128.7	91.6	122.7	126.5	58.7	57.5	23.3	107.1	438.9	343	242.7	1124.7
