Year,Perceived high level of ASB,Abandoned or burnt-out cars,Noisy neighbours or loud parties,People being drunk or rowdy in public places,People using or dealing drugs,Teenagers hanging around on streets,Rubbish or litter lying around,"Vandalism, graffiti and other deliberate damage to property",Unweighted base
1998,,,6,,21,20,22,23,3058
2001,,8,7,,29,33,27,32,3007
2003/04,18.06707537,10.46955368,7.753479125,23.52843088,30.71402942,30.69651741,29.1749503,28.17368247,3104
2005,16.91409508,8.404384896,9.566685425,24.97881954,28.13799476,29.06223599,27.93248945,25.75415844,3691
2006/07,14.98221696,6.795451434,8.293417275,23.42590047,25.80931264,27.40345112,27.0998632,23.44242093,3788
2007/08,14.64949929,5.986754967,7.86205074,24.55605619,25.52009119,27.65001322,26.59180978,22.2384106,3932
2008/09,14.28571429,5.10371179,8.092643052,24.13604699,23.72354595,25.73258825,27.99346138,23.07797165,3855
2009/10,14.2074199,5.385413963,8.069948186,22.1443406,22.98415369,25.94608605,27.60362694,22.12721855,4098
2010/11,12.96503496,5.067743616,8.31381733,20.15939378,22.30908837,22.54493358,27.12724434,19.90879479,4077
2011/12,12.07849641,4.290514345,8.37095318,20.99068805,23.08116302,21.67118688,25.94789786,20.01548587,4063
2012/13,9.983150801,3.496964899,7.844169519,17.55241989,21.69467787,19.7631579,24.47368421,17.32086407,4055
2013/14,10.11468621,3.773868591,7.638055222,16.91983757,22.54528122,17.14457289,25.89258926,15.94594595,3596
2014/15,8.080808081,3.162458557,6.866734486,14.79214486,21.14619262,15.00890359,25.61099796,15.29262086,2071
2015/16,8.487833139,3.50731842,7.348066298,14.9778516,21.84971098,14.9958575,23.5359116,13.20441989,1974
2016/17,9.322560597,4.207407407,7.225347942,14.88289357,24.54996896,13.94316163,25.07400829,12.28537596,1877
2016/17 CSEW,9.05007123,3.179924746,9.634174766,15.6815138,22.65803452,15.14429675,29.9820139,14.25198505,8722
