Year,More crime,A lot more crime,A little more crime,Same,Less crime,Unweighted base
2003/04,79,49,30,14,7,2704
2005,73.99767577,41.70540383,32.29227193,16.87972109,9.122603138,3578
2006/07,72.66197183,40.14084507,32.52112676,17.50704225,9.830985916,3678
2007/08,65.43734576,33.89086921,31.54647656,20.23581026,14.32684398,3790
2008/09,63.91200113,32.44958398,31.46241715,23.07149908,13.01649979,3737
2009/10,64.4058745,31.38851802,33.01735648,24.11214953,11.48197597,3977
2010/11,62.28247673,27.58667206,34.69580467,24.94266829,12.77485498,3916
 2011/12,59.44,25.88,33.56,28.46666667,12.09333333,3925
2012/13,58.60185691,25.02730748,33.57454943,29.13708356,12.26105953,3898
2013/14,57.45012469,23.42581047,34.02431421,30.81359102,11.73628429,3458
2014/15,58.11201683,25.05916382,33.05285301,31.39626611,10.49171707,2003
 2015/16,60.21689498,25.02853881,35.18835616,29.93721461,9.845890411,1914
 2016/17,57.34756098,22.62195122,34.72560976,29.14634146,13.50609756,1820
