Table A5: Perceptions of different types of anti-social behaviour as the single biggest problem (%) in the local area1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,NICS,NICS,NICS,NICS,NICS,NICS,NICS,NICS,NICS,,,,,,,
,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abandoned or burnt-out cars,1,1,1,1,0,0,0,0,1,,,,,,,
Noisy neighbours or loud parties,4,4,4,4,4,5,4,4,4,,,,,,,
People being drunk or rowdy in public places,11,11,10,10,8,8,9,7,7,,,,,,,
People using or dealing drugs,8,7,9,9,10,11,12,12,13,,,,,,,
Teenagers hanging around on streets,23,21,19,18,16,13,10,11,11,,,,,,,
Rubbish or litter lying around,16,16,18,18,18,19,22,20,21,,,,,,,
"Vandalism, graffiti and other deliberate damage to property",7,7,7,7,6,5,5,4,4,,,,,,,
None of these,31,32,33,33,37,38,37,41,40,,,,,,,
,,,,,,,,,,,,,,,,
Unweighted base,"3,852","4,090","4,066","4,055","4,049","3,594","2,072","1,972","1,874",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. Results exclude don't knows and refusals.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
