Policing District,LE Abandoned or burnt-out cars,BE Abandoned or burnt-out cars,HE Abandoned or burnt-out cars,LE Noisy neighbours or loud parties,BE Noisy neighbours or loud parties,HE Noisy neighbours or loud parties,LE People being drunk or rowdy in public places,BE People being drunk or rowdy in public places,HE People being drunk or rowdy in public places,LE People using or dealing drugs,BE People using or dealing drugs,HE People using or dealing drugs,LE Teenagers hanging around on streets,BE Teenagers hanging around on streets,HE Teenagers hanging around on streets,LE Rubbish or litter lying around,BE Rubbish or litter lying around,HE Rubbish or litter lying around,"LE Vandalism, graffiti and other deliberate damage to property","BE Vandalism, graffiti and other deliberate damage to property","HE Vandalism, graffiti and other deliberate damage to property",LE Perceived high level of ASB,BE Perceived high level of ASB,HE Perceived high level of ASB,Unweighted base
Antrim and Newtownabbey,0.481572318,4.06504065,7.648508983,3.170822339,8.130081301,13.08934026,5.352613328,11.06557377,16.77853421,16.03420832,24.01746725,32.00072618,8.553983839,15.04065041,21.52731697,10.93194018,17.88617886,24.84041755,7.230280148,13.41463415,19.59898815,2.860838791,7.929515419,12.99819205,140
Ards and North Down,0,0,0,1.799299901,5.483870968,9.168442036,9.902443299,15.80645161,21.71045993,11.96401943,18.49315069,25.02228194,5.653725129,10.64516129,15.63659745,17.26259099,24.19354839,31.12450579,4.393174064,9.032258065,13.67134207,2.847035408,7.191780822,11.53652624,176
"Armagh City, Banbridge and Craigavon",0.108781469,2.356020943,4.603260416,2.120336541,5.497382199,8.874427858,8.311455689,13.35078534,18.39011499,17.39441927,23.84823848,30.3020577,8.311455689,13.35078534,18.39011499,21.35725066,28.0104712,34.66369175,6.788354757,11.51832461,16.24829446,4.833990772,9.214092141,13.59419351,210
Belfast City,3.156697253,5.756578947,8.356460642,7.256857589,10.70840198,14.15994636,17.4126407,22.03947368,26.66630667,31.04270019,36.61971831,42.19673643,16.19938786,20.72368421,25.24798057,27.80826532,33.05921053,38.31015573,14.24358375,18.58552632,22.92746888,11.30424004,15.49295775,19.68167545,370
Causeway Coast and Glens,0,1.048951049,2.817384784,2.56619822,6.993006994,11.41981577,10.29621462,16.78321678,23.27021895,16.83633663,24.53531598,32.23429534,4.900231511,10.13986014,15.37948877,19.54211459,27.27272727,35.00333995,4.900231511,10.13986014,15.37948877,4.098769605,9.293680298,14.48859099,153
Derry City & Strabane,9.225775041,15.21035599,21.19493694,6.04552878,11.32686084,16.60819291,13.3908434,20.06472492,26.73860644,16.80904098,24.22145329,31.6338656,17.12733001,24.27184466,31.41635931,16.83634757,23.94822007,31.06009256,13.3908434,20.06472492,26.73860644,10.46281339,16.9550173,23.44722122,166
Fermanagh and Omagh,0.478316529,4.60251046,8.726704391,0.722797257,5.020920502,9.319043748,4.750194983,10.87866109,17.00712719,5.169496027,11.53846154,17.90742705,2.625479325,7.949790795,13.27410227,3.81891371,9.623430962,15.42794821,0.975566717,5.439330544,9.90309437,0.731078702,5.128205128,9.525331554,119
Lisburn and Castlereagh,0,1.70940171,4.169314813,1.726276771,6.329113924,10.93195108,2.296839877,7.20338983,12.10993978,9.815347607,17.10526316,24.39517871,6.017237185,12.23628692,18.45533666,22.46344616,31.22362869,39.98381122,7.04176914,13.5021097,19.96245027,2.370741975,7.456140351,12.54153873,129
Mid and East Antrim,0,1.53256705,3.686127738,0.466321935,3.831417624,7.196513313,7.436187536,13.40996169,19.38373584,19.42355648,27.34375,35.26394352,2.72514803,7.279693487,11.83423895,21.15437112,29.11877395,37.08317677,2.187475542,6.513409962,10.83934438,0.033273026,3.125,6.216726975,150
Mid Ulster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"Newry, Mourne and Down",0.70534427,3.8585209,7.011697529,1.315522812,4.823151125,8.330779437,2.876535794,7.073954984,11.27137417,12.31880032,18.81188119,25.30496205,1.964888333,5.787781351,9.610674369,9.791171992,15.75562701,21.72008203,0.705344271,3.858520901,7.011697531,0.14970191,2.97029703,5.79089215,172
