NAME,ADDRESS,POSTCODE,LONGITUDE,LATITUDE
Belfast City Hall,Donegall Square,BT1 5GS,-5.929894561787026,54.596606674965976
Gasworks,Ormeau Avenue,BT7 2JB,-5.9227463040104285,54.59081464670145
Bridges Urban Skate Park,Corporation Street,BT1 3DE,-5.924104087169143,54.60444946790272
King William Park,Bradbury Place,BT7 1RS,-5.936025587655617,54.587978029596464
Ormeau Park,Ormeau Road,BT7 3GG,-5.916131805645338,54.5855165230949
Botanic Gardens,College Park Botanic Avenue,BT7 1LP,-5.932014919679817,54.582249006852685
Drumglass Park,Lisburn Road,BT9 6JF,-5.954841146640687,54.574334885713384
Lagan Meadows,Knightsbridge Park,BT9 5PB,-5.9366482628265365,54.561887223486956
Grovelands,Stockman's Lane,BT9 7JB,-5.96953219998335,54.56935316416344
Musgrave Park,Stockman's Lane,BT9 7JB,-5.973880524193518,54.56994716540786
Clement Wilson Park,Newforge,BT9 5NX,-5.950435654808607,54.555185254529285
Wedderburn Park,Orpen Park,BT10 0BN,-5.9878366742481,54.55535505750669
